F_CODE,F_LEVEL,F_STATUS,OCEAN,SUBOCEAN,F_AREA,F_SUBAREA,F_DIVISION,F_SUBDIVIS,F_SUBUNIT,ID,NAME_EN,NAME_FR,NAME_ES,SURFACE
18,MAJOR,1,Arctic,1,18,,,,,1,Arctic Sea,Mer Arctique,Mar Ártico,9.31844E+12
71,MAJOR,1,Pacific,7,71,,,,,10,"Pacific, Western Central","Pacifique, centre-ouest","Pacífico, centro-occidental",3.32371E+13
34.4.2,DIVISION,1,Atlantic,3,34,34.4,34.4.2,,,131,Southwest oceanic,"Océanique, sud-ouest",Oceánica sudoccidental,3.02357E+12
34.3.2,DIVISION,1,Atlantic,3,34,34.3,34.3.2,,,132,Cape Verde insular,Insulaire du Cap-Vert,Insular de Cabo Verde,1.18454E+12
71.6.1,DIVISION,1,Pacific,7,71,_71.6,71.6.1,,,133,"Pacific, West central / 71.6.1",Pac WC / 71.6.1,Pac WC / 71.6.1,5.3945E+12
34.3.1,DIVISION,1,Atlantic,3,34,34.3,34.3.1,,,134,Cape Verde coastal,Côtière du Cap-Vert,Costera de Cabo Verde,4.85353E+11
34.3.3,DIVISION,1,Atlantic,3,34,34.3,34.3.3,,,142,Sherbro,Sherbro,Sherbro,1.14742E+12
87.1.1,DIVISION,1,Pacific,8,87,87.1,87.1.1,,,143,"Pacific, Southeast / 87.1.1","Pacific, Southeast / 87.1.1","Pacific, Southeast / 87.1.1",5.69192E+11
34.3.4,DIVISION,1,Atlantic,3,34,34.3,34.3.4,,,144,Western Gulf of Guinea,"Golfe de Guinée, ouest",Golfo de Guinea occidental,7.16881E+11
34.3.5,DIVISION,1,Atlantic,3,34,34.3,34.3.5,,,145,Central Gulf of Guinea,"Golfe de Guinée, centre",Golfo de Guinea central,4.12127E+11
87.1.2,DIVISION,1,Pacific,8,87,87.1,87.1.2,,,146,"Pacific, Southeast / 87.1.2","Pacific, Southeast / 87.1.2","Pacific, Southeast / 87.1.2",5.04899E+11
87.1.4,DIVISION,1,Pacific,8,87,87.1,87.1.4,,,147,"Pacific, Southeast / 87.1.4","Pacific, Southeast / 87.1.4","Pacific, Southeast / 87.1.4",1.05665E+13
87,MAJOR,1,Pacific,8,87,,,,,11,"Pacific, Southeast","Pacifique, sud-est","Pacífico, sudoriental",3.07693E+13
41.1.1,DIVISION,1,Atlantic,4,41,41.1,41.1.1,,,148,"Atlantic, Southwest / 41.1.1",Atl SW / 41.1.1,Atl SW / 41.1.1,8.81395E+11
87.1.3,DIVISION,1,Pacific,8,87,87.1,87.1.3,,,149,"Pacific, Southeast / 87.1.3","Pacific, Southeast / 87.1.3","Pacific, Southeast / 87.1.3",2.7919E+11
41.1.2,DIVISION,1,Atlantic,4,41,41.1,41.1.2,,,150,"Atlantic, Southwest / 41.1.2",Atl SW / 41.1.2,Atl SW / 41.1.2,6.42349E+11
41.1.3,DIVISION,1,Atlantic,4,41,41.1,41.1.3,,,151,"Atlantic, Southwest / 41.1.3",Atl SW / 41.1.3,Atl SW / 41.1.3,4.34666E+11
57.5.1,DIVISION,1,Indian,5,57,57.5,57.5.1,,,152,"Indian Ocean, East / 57.5.1",Ind E / 57.5.1,Ind E / 57.5.1,2.15331E+12
87.2.6,DIVISION,1,Pacific,8,87,87.2,87.2.6,,,153,87.2.6,87.2.6,87.2.6,9.93006E+12
87.2.2,DIVISION,1,Pacific,8,87,87.2,87.2.2,,,154,"Pacific, Southeast / 87.2.2","Pacific, Southeast / 87.2.2","Pacific, Southeast / 87.2.2",3.85964E+11
87.2.1,DIVISION,1,Pacific,8,87,87.2,87.2.1,,,155,"Pacific, Southeast / 87.2.1","Pacific, Southeast / 87.2.1","Pacific, Southeast / 87.2.1",3.78752E+11
41.2.1,DIVISION,1,Atlantic,4,41,41.2,41.2.1,,,156,"Atlantic, Southwest / 41.2.1",Atl SW / 41.2.1,Atl SW / 41.2.1,6.55636E+11
41.1.4,DIVISION,1,Atlantic,4,41,41.1,41.1.4,,,157,"Atlantic, Southwest / 41.1.4",Atl SW / 41.1.4,Atl SW / 41.1.4,3.86738E+12
41,MAJOR,1,Atlantic,4,41,,,,,12,"Atlantic, Southwest","Atlantique, sud-ouest","Atlántico, sudoccidental",1.75379E+13
34.4.1,DIVISION,1,Atlantic,3,34,34.4,34.4.1,,,158,Southwest Gulf of Guinea,"Golfe de Guinée, sud-ouest",Golfo de Guinea sudoccidental,1.69568E+12
57.5.2,DIVISION,1,Indian,5,57,57.5,57.5.2,,,159,"Indian Ocean, East / 57.5.2",Ind E / 57.5.2,Ind E / 57.5.2,1.6963E+12
87.2.3,DIVISION,1,Pacific,8,87,87.2,87.2.3,,,160,87.2.3,87.2.3,87.2.3,85283597468
87.2.5,DIVISION,1,Pacific,8,87,87.2,87.2.5,,,162,87.2.5,87.2.5,87.2.5,81149590987
41.2.2,DIVISION,1,Atlantic,4,41,41.2,41.2.2,,,163,"Atlantic, Southwest / 41.2.2",Atl SW / 41.2.2,Atl SW / 41.2.2,3.44471E+11
87.2.4,DIVISION,1,Pacific,8,87,87.2,87.2.4,,,164,87.2.4,87.2.4,87.2.4,1.35175E+11
87.3.3,DIVISION,1,Pacific,8,87,87.3,87.3.3,,,165,87.33,87.33,87.33,7.04352E+12
87.3.2,DIVISION,1,Pacific,8,87,87.3,87.3.2,,,166,"Pacific, Southeast / 87.3.2","Pacific, Southeast / 87.3.2","Pacific, Southeast / 87.3.2",3.61272E+11
87.3.1,DIVISION,1,Pacific,8,87,87.3,87.3.1,,,167,"Pacific, Southeast / 87.3.1","Pacific, Southeast / 87.3.1","Pacific, Southeast / 87.3.1",4.4833E+11
58.5.1,DIVISION,1,Indian,10,58,58.5,58.5.1,,,168,Indian Antarctic 58.5.1,Ind Antar 58.5.1,Ind Antar 58.5.1,1.08309E+12
81,MAJOR,1,Pacific,8,81,,,,,13,"Pacific, Southwest","Pacifique, sud-ouest","Pacífico, sudoccidental",2.76802E+13
41.2.4,DIVISION,1,Atlantic,4,41,41.2,41.2.4,,,169,"Atlantic, Southwest / 41.2.4",Atl SW / 41.2.4,Atl SW / 41.2.4,5.19721E+12
41.3.3,DIVISION,1,Atlantic,4,41,41.3,41.3.3,,,170,"Atlantic, Southwest / 41.3.3",Atl SW / 41.3.3,Atl SW / 41.3.3,2.43936E+12
27.10.a,DIVISION,1,Atlantic,2,27,27.10,27.10.a,,,171,Azores Grounds (Division 27.10.a),Fonds des Açores (Division 27.10.a),Fondos de las Azores (División  27.10.a),1.60076E+12
27.9.b,DIVISION,1,Atlantic,2,27,27.9,27.9.b,,,172,Portuguese Waters - West (Division 27.9.b),Eaux portugaises - Ouest (Division 27.9.b),Aguas Portuguesas - oeste (División 27.9.b),4.67637E+11
58.5.2,DIVISION,1,Indian,10,58,58.5,58.5.2,,,173,Indian Antarctic 58.5.2,Ind Antar 58.5.2,Ind Antar 58.5.2,6.54991E+11
58.4.4,DIVISION,1,Indian,10,58,58.4,58.4.4,,,174,Indian Antarctic 58.4.4,Ind Antar 58.4.4,Ind Antar 58.4.4,2.49605E+12
41.2.3,DIVISION,1,Atlantic,4,41,41.2,41.2.3,,,175,"Atlantic, Southwest / 41.2.3",Atl SW / 41.2.3,Atl SW / 41.2.3,4.67313E+11
41.3.1,DIVISION,1,Atlantic,4,41,41.3,41.3.1,,,176,"Atlantic, Southwest / 41.3.1",Atl SW / 41.3.1,Atl SW / 41.3.1,1.08837E+12
37.1.1,DIVISION,1,Atlantic,3,37,37.1,37.1.1,,,177,Balearic,Baléares,Baleares,4.68186E+11
34.3.6,DIVISION,1,Atlantic,3,34,34.3,34.3.6,,,178,Southern Gulf of Guinea,"Golfe de Guinée, sud",Golfo de Guinea meridional,5.50566E+11
58,MAJOR,1,Indian,10,58,,,,,14,"Indian Ocean, Antarctic","Océan Indien, Antarctique","Océano Índico, Antártico",1.28187E+13
41.3.2,DIVISION,1,Atlantic,4,41,41.3,41.3.2,,,189,"Atlantic, Southwest / 41.3.2",Atl SW / 41.3.2,Atl SW / 41.3.2,1.5198E+12
58.4.2,DIVISION,1,Indian,10,58,58.4,58.4.2,,,190,Indian Antarctic 58.4.2,Ind Antar 58.4.2,Ind Antar 58.4.2,1.55967E+12
58.4.1,DIVISION,1,Indian,10,58,58.4,58.4.1,,,191,Indian Antarctic 58.4.1,Ind Antar 58.4.1,Ind Antar 58.4.1,4.59409E+12
58.4.3,DIVISION,1,Indian,10,58,58.4,58.4.3,,,192,Indian Antarctic 58.4.3,Ind Antar 58.4.3,Ind Antar 58.4.3,1.17498E+12
47.A.0,DIVISION,1,Atlantic,4,47,47.A,47.A.0,,,193,SEAFO division A.0,Division SEAFO A.0,División SEAFO A.0,3.81562E+12
47.A.1,DIVISION,1,Atlantic,4,47,47.A,47.A.1,,,194,SEAFO division A.1,Division SEAFO A.1,División SEAFO A.1,1.09301E+12
21.1.D,DIVISION,1,Atlantic,2,21,21.1,21.1.D,,,195,"Atlantic, Northwest / 21.1.D",Atl NW / 21.1.D,Atl NW / 21.1.D,70014020328
21.1.E,DIVISION,1,Atlantic,2,21,21.1,21.1.E,,,196,"Atlantic, Northwest / 21.1.E",Atl NW / 21.1.E,Atl NW / 21.1.E,88359676228
21.2.G,DIVISION,1,Atlantic,2,21,21.2,21.2.G,,,197,"Atlantic, Northwest / 21.2.G",Atl NW / 21.2.G,Atl NW / 21.2.G,1.71991E+11
21.1.F,DIVISION,1,Atlantic,2,21,21.1,21.1.F,,,198,"Atlantic, Northwest / 21.1.F",Atl NW / 21.1.F,Atl NW / 21.1.F,4.12234E+11
48,MAJOR,1,Atlantic,9,48,,,,,15,"Atlantic, Antarctic","Atlantique, Antarctique","Atlántico, Antártico",1.25527E+13
21.2.H,DIVISION,1,Atlantic,2,21,21.2,21.2.H,,,199,"Atlantic, Northwest / 21.2.H",Atl NW / 21.2.H,Atl NW / 21.2.H,1.86312E+11
21.3.M,DIVISION,1,Atlantic,2,21,21.3,21.3.M,,,200,"Atlantic, Northwest / 21.3.M",Atl NW / 21.3.M,Atl NW / 21.3.M,4.09646E+11
