Notes,resource_id,resource,year,DOI,source,suffix,author_year
,atwood2018,"ATWOOD, T. B. & MADIN, E. M. P. & HARBOURNE,  A. R, & Hammill E. & Luiz O.J. & Ollivier, Q.R. & Roelfsema, C.M. & Macreadie, P.I. & Lovelock, C.E. (2018) Predators Shape Sedimentary Organic Carbon Storage in a Coral Reef Ecosystem. Front. Ecol. Evol., 6:110",2018,10.3389/fevo.2018.00110,Simon-Dedman,,atwood2018
,barriosoneil2017,"Barrios-O'Neill, D. & Bertolini, C. & Collins, P.C. (2017) Trophic cascades and the transient keystone concept. Biological Conservation, 212.",2017,10.1016/j.biocon.2017.06.011,Simon-Dedman,,barriosoneil2017
,benson2019,"Benson, C.W. & Shea, B.D. & de Silva, C. & Donovan, D. & Holder, P.E. & Cooke, S.J. & Gallagher, A.J. (2019) Physiological consequences of varying large shark exposure on striped bass (Morone saxatilis). Canadian Journal of Zoology, 97 (12) 1195:1202",2019,10.1139/cjz-2019-0173,Simon-Dedman,,benson2019
,bond2019,"Bond, M.E. & Valentin-Albanese, J. & Babcock, E.A. & Heithaus, M.R. & Grubbs, R.D. & Cerrato, R. & Peterson, B.J. & Pikitch, E.K. & Chapman, D.D. (2019) Top predators induce habitat shifts in prey within marine protected areas. Oecologia, 190, 375:385",2019,10.1007/s00442-019-04421-0,Simon-Dedman,,bond2019
,boyce2015,"Boyce, D.G. & Frank, K.T. & Worm, B. & Leggett, W.C. (2015) Spatial patterns and predictors of trophic control in marine ecosystems. Ecology Letters, 18 (10) 1001:1011.",2015,doi:10.1111/ele.12481,Simon-Dedman,,boyce2015
,brown2020,"Brown, C.M. & Paxton, A.B. & Taylor, J.C. & Van Hoeck, R.V. & Fatzinger, M.H. & Silliman, B.R. (2020) Short-term changes in reef fish community metrics correlate with variability in large shark occurrence. Food Webs, 24, e00147.",2020,10.1016/j.fooweb.2020.e00147,Simon-Dedman,,brown2020
,casey2017,"Casey, J.M. & Baird, A.H. & Brandl, S.J. & Hoogenboom, M.O. & Rizzari, J.R. & Frisch, A.J. & Mirbach, C.E. & Connolly, S.R. (2017) A test of trophic cascade theory: fish and benthic assemblages across a predator density gradient on coral reefs. Oecologia, 183 (1) 161:175.",2017,10.1007/s00442-016-3753-8,Simon-Dedman,,casey2017
,christianen2014,"Christianen, M.J.A. & Herman, P.M.J. & Bouma, T.J. & Lamers, L.P.M. & Van Katwijk, M.M. & Van Der Heide, T. & Mumby, P.J. & Silliman, B.R. & Engelhard, S.L. & Van De Kerk, M. & Kiswara, W. & van de Koppel, J. (2014) Habitat collapse due to overgrazing threatens turtle conservation in marine protected areas. Proceedings of the Royal Society B: Biological Sciences, 281 (1777) 20132890",2014,10.1098/rspb.2013.2890,Simon-Dedman,,christianen2014
,clementi2021,"Clementi, G.M. & Bakker, J. & Flowers, K.I. & Postaire, B.D. & Babcock, E.A. & Bond, M.E. & Buddo, D. & Cardeñosa, D. & Currey-Randall, L.M. & Goetze, J.S. & Mouillot, D. & Harvey, E.S. & Heupel, M. & Kiszka, J.J. & Kyne, F. & MacNeil, M.A. & Meekan, M.G. & Rees, M.J. & Simpfendorfer, C.A. & Speed, C.W. & Heithaus, M.R. & Chapman, D.D. (2021) Moray eels are more common on coral reefs subject to higher human pressure in the greater Caribbean. Iscience, 24 (3) 102097.",2021,10.1016/j.isci.2021.102097,Simon-Dedman,,clementi2021
,coleman2021,"Coleman, N.C. & Burge, E.J. (2021) PeerJ, 9, e11164.",2021,10.7717/peerj.11164,Simon-Dedman,,coleman2021
