Chimaeriformes,Batoidea,Squalimorph Sharks,Gaelomorph Sharks
Callorhinchus callorynchus,Acroteriobatus omanensis,Aculeola nigra,Alopias pelagicus
Callorhinchus capensis,Acroteriobatus annulatus,Centrophorus atromarginatus,Alopias superciliosus
Callorhinchus milii,Acroteriobatus blochii,Centrophorus granulosus,Alopias vulpinus
Chimaera argiloba,Acroteriobatus leucospilus,Centrophorus harrissoni,Apristurus albisoma
Chimaera bahamaensis,Acroteriobatus ocellatus,Centrophorus isodon,Apristurus ampliceps
Chimaera carophila,Acroteriobatus salalah,Centrophorus lusitanicus,Apristurus aphyodes
Chimaera cubana,Acroteriobatus variegatus,Centrophorus moluccensis,Apristurus australis
Chimaera fulva,Acroteriobatus zanzibarensis,Centrophorus seychellorum,Apristurus breviventralis
Chimaera jordani,Aetobatus flagellum,Centrophorus squamosus,Apristurus brunneus
Chimaera lignaria,Aetobatus laticeps,Centrophorus tessellatus,Apristurus bucephalus
Chimaera macrospina,Aetobatus narinari,Centrophorus uyato,Apristurus canutus
Chimaera monstrosa,Aetobatus narutobiei,Centrophorus westraliensis,Apristurus exsanguis
Chimaera notafricana,Aetobatus ocellatus,Centrophorus zeehaani,Apristurus fedorovi
Chimaera obscura,Aetomylaeus caeruleofasciatus,Centroscyllium excelsum,Apristurus garricki
Chimaera opalescens,Aetomylaeus maculatus,Centroscyllium fabricii,Apristurus gibbosus
Chimaera orientalis,Aetomylaeus milvus,Centroscyllium granulatum,Apristurus herklotsi
Chimaera owstoni,Aetomylaeus nichofii,Centroscyllium kamoharai,Apristurus indicus
Chimaera panthera,Aetomylaeus vespertilio,Centroscyllium nigrum,Apristurus internatus
Chimaera phantasma,Amblyraja badia,Centroscyllium ornatum,Apristurus investigatoris
Harriotta haeckeli,Amblyraja doellojuradoi,Centroscyllium ritteri,Apristurus japonicus
Harriotta raleighana,Amblyraja frerichsi,Centroscymnus coelolepis,Apristurus kampae
Hydrolagus affinis,Amblyraja georgiana,Centroscymnus owstonii,Apristurus laurussonii
Hydrolagus africanus,Amblyraja hyperborea,Centroselachus crepidater,Apristurus longicephalus
Hydrolagus alberti,Amblyraja jenseni,Chlamydoselachus africana,Apristurus macrorhynchus
Hydrolagus alphus,Amblyraja radiata,Chlamydoselachus anguineus,Apristurus macrostomus
Hydrolagus barbouri,Amblyraja reversa,Cirrhigaleus asper,Apristurus manis
Hydrolagus bemisi,Amblyraja robertsi,Cirrhigaleus australis,Apristurus melanoasper
Hydrolagus colliei,Amblyraja taaf,Cirrhigaleus barbifer,Apristurus microps
Hydrolagus deani,Anacanthobatis americanus,Dalatias licha,Apristurus micropterygeus
Hydrolagus eidolon,Anacanthobatis donghaiensis,Deania calcea,Apristurus nakayai
Hydrolagus erithacus,Anacanthobatis folirostris,Deania hystricosa,Apristurus nasutus
Hydrolagus homonycteris,Anacanthobatis longirostris,Deania profundorum,Apristurus parvipinnis
Hydrolagus lemures,Anacanthobatis marmoratus,Deania quadrispinosa,Apristurus pinguis
Hydrolagus lusitanicus,Anacanthobatis nanhaiensis,Echinorhinus brucus,Apristurus platyrhynchus
Hydrolagus macrophthalmus,Anacanthobatis ori,Echinorhinus cookei,Apristurus profundorum
Hydrolagus marmoratus,Anacanthobatis stenosoma,Etmopterus alphus,Apristurus riveri
Hydrolagus matallanasi,Anoxypristis cuspidata,Etmopterus benchleyi,Apristurus saldanha
Hydrolagus mccoskeri,Aptychotrema rostrata,Etmopterus bigelowi,Apristurus sibogae
Hydrolagus melanophasma,Aptychotrema timorensis,Etmopterus brachyurus,Apristurus sinensis
Hydrolagus mirabilis,Aptychotrema vincentiana,Etmopterus bullisi,Apristurus spongiceps
Hydrolagus mitsukurii,Arhynchobatis asperrimus,Etmopterus burgessi,Apristurus stenseni
Hydrolagus novaezealandiae,Atlantoraja castelnaui,Etmopterus carteri,Asymbolus analis
Hydrolagus ogilbyi,Atlantoraja cyclophora,Etmopterus caudistigmus,Asymbolus funebris
Hydrolagus pallidus,Atlantoraja platana,Etmopterus compagnoi,Asymbolus galacticus
Hydrolagus purpurescens,Bathyraja abyssicola,Etmopterus decacuspidatus,Asymbolus occiduus
Hydrolagus trolli,Bathyraja aguja,Etmopterus dianthus,Asymbolus pallidus
Neoharriotta carri,Bathyraja aleutica,Etmopterus dislineatus,Asymbolus parvus
Neoharriotta pinnata,Bathyraja andriashevi,Etmopterus evansi,Asymbolus rubiginosus
Neoharriotta pumila,Bathyraja bergi,Etmopterus fusus,Asymbolus submaculatus
Rhinochimaera africana,Bathyraja brachyurops,Etmopterus gracilispinis,Asymbolus vincenti
Rhinochimaera atlantica,Bathyraja cousseauae,Etmopterus granulosus,Atelomycterus baliensis
Rhinochimaera pacifica,Bathyraja diplotaenia,Etmopterus hillianus,Atelomycterus erdmanni
Recently Described/Novel Species,Bathyraja eatonii,Etmopterus joungi,Atelomycterus fasciatus
,Bathyraja fedorovi,Etmopterus lailae,Atelomycterus macleayi
,Bathyraja griseocauda,Etmopterus litvinovi,Atelomycterus marmoratus
,Bathyraja hesperafricana,Etmopterus lucifer,Atelomycterus marnkalha
,Bathyraja interrupta,Etmopterus molleri,Aulohalaelurus kanakorum
