order,family,species,CITES,Year,CMS,Year
Carcharhiniformes,Carcharhinidae,Carcharhinus acronotus,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus albimarginatus,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus altimus,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus amblyrhynchoides,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus amblyrhynchos,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus amboinensis,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus borneensis,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus brachyurus,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus brevipinna,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus cautus,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus cerdale,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus coatesi,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus dussumieri,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus falciformis,II,2017,II,2014
Carcharhiniformes,Carcharhinidae,Carcharhinus fitzroyensis,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus galapagensis,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus hemiodon,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus humani,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus isodon,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus leiodon,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus leucas,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus limbatus,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus longimanus,II,2013,I,2020
Carcharhiniformes,Carcharhinidae,Carcharhinus macloti,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus melanopterus,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus obscurus,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus obsoletus,II,2022,II,2017
Carcharhiniformes,Carcharhinidae,Carcharhinus perezi,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus plumbeus,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus porosus,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus sealei,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus signatus,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus sorrah,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus tilstoni,II,2022,,
Carcharhiniformes,Carcharhinidae,Carcharhinus tjutjot,II,2022,,
Carcharhiniformes,Carcharhinidae,Galeocerdo cuvier,II,2022,,
Carcharhiniformes,Carcharhinidae,Glyphis gangeticus,II,2022,,
Carcharhiniformes,Carcharhinidae,Glyphis garricki,II,2022,,
Carcharhiniformes,Carcharhinidae,Glyphis glyphis,II,2022,,
Carcharhiniformes,Carcharhinidae,Isogomphodon oxyrhynchus,II,2022,,
Carcharhiniformes,Carcharhinidae,Lamiopsis temminckii,II,2022,,
Carcharhiniformes,Carcharhinidae,Lamiopsis tephrodes,II,2022,,
Carcharhiniformes,Carcharhinidae,Loxodon macrorhinus,II,2022,,
Carcharhiniformes,Carcharhinidae,Nasolamia velox,II,2022,,
Carcharhiniformes,Carcharhinidae,Negaprion acutidens,II,2022,,
Carcharhiniformes,Carcharhinidae,Negaprion brevirostris,II,2022,,
Carcharhiniformes,Carcharhinidae,Prionace glauca,II,2022,II,2017
Carcharhiniformes,Carcharhinidae,Rhizoprionodon acutus,II,2022,,
Carcharhiniformes,Carcharhinidae,Rhizoprionodon lalandii,II,2022,,
Carcharhiniformes,Carcharhinidae,Rhizoprionodon longurio,II,2022,,
Carcharhiniformes,Carcharhinidae,Rhizoprionodon oligolinx,II,2022,,
